NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Ang Thong,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Bangkok Metropolis,99,1,0,0,100,0.99,0.01,0,1,0.0,0.99,0.0
Bueng Kan,99,1,0,0,100,0.99,0.01,0,1,0.0,0.99,0.0
Buri Ram,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chachoengsao,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chai Nat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chaiyaphum,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chanthaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Mai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chiang Rai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chon Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Chumphon,0,0,17,83,100,0.83,0.83,1,0,0.83,0.0,0.9071038251366119
Kalasin,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Kamphaeng Phet,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Kanchanaburi,0,0,77,23,100,0.23,0.23,1,0,0.23,0.0,0.3739837398373984
Khon Kaen,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Krabi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lampang,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lamphun,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Loei,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Lop Buri,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Mae Hong Son,0,0,91,9,100,0.09,0.09,1,0,0.09,0.0,0.16513761467889906
Maha Sarakham,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Mukdahan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Nayok,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Pathom,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Phanom,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Ratchasima,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Sawan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nakhon Si Thammarat,0,0,0,100,100,1.0,1.0,1,0,1.0,0.0,1.0
Nan,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Narathiwat,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nong Bua Lam Phu,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nong Khai,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Nonthaburi,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Pathum Thani,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
Pattani,99,1,0,0,100,0.99,0.01,0,1,0.0,0.99,0.0
Phangnga,100,0,0,0,100,1.0,0.0,0,1,0.0,1.0,0.0
