NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,0,0,0,100,100,1,1,1,0,1,0,1
Ang Thong,100,0,0,0,100,1,0,0,1,0,1,0
Bangkok Metropolis,100,0,0,0,100,1,0,0,1,0,1,0
Bueng Kan,0,0,0,100,100,1,1,1,0,1,0,1
Buri Ram,0,0,0,100,100,1,1,1,0,1,0,1
Chachoengsao,100,0,0,0,100,1,0,0,1,0,1,0
Chai Nat,100,0,0,0,100,1,0,0,1,0,1,0
Chaiyaphum,0,0,0,100,100,1,1,1,0,1,0,1
Chanthaburi,100,0,0,0,100,1,0,0,1,0,1,0
Chiang Mai,100,0,0,0,100,1,0,0,1,0,1,0
Chiang Rai,100,0,0,0,100,1,0,0,1,0,1,0
Chon Buri,100,0,0,0,100,1,0,0,1,0,1,0
Chumphon,100,0,0,0,100,1,0,0,1,0,1,0
Kalasin,0,0,0,100,100,1,1,1,0,1,0,1
Kamphaeng Phet,100,0,0,0,100,1,0,0,1,0,1,0
Kanchanaburi,100,0,0,0,100,1,0,0,1,0,1,0
Khon Kaen,0,0,0,100,100,1,1,1,0,1,0,1
Krabi,100,0,0,0,100,1,0,0,1,0,1,0
Lampang,100,0,0,0,100,1,0,0,1,0,1,0
Lamphun,100,0,0,0,100,1,0,0,1,0,1,0
Loei,0,0,0,100,100,1,1,1,0,1,0,1
Lop Buri,100,0,0,0,100,1,0,0,1,0,1,0
Mae Hong Son,100,0,0,0,100,1,0,0,1,0,1,0
Maha Sarakham,0,0,0,100,100,1,1,1,0,1,0,1
Mukdahan,0,0,0,100,100,1,1,1,0,1,0,1
Nakhon Nayok,100,0,0,0,100,1,0,0,1,0,1,0
Nakhon Pathom,100,0,0,0,100,1,0,0,1,0,1,0
Nakhon Phanom,0,0,0,100,100,1,1,1,0,1,0,1
Nakhon Ratchasima,0,0,0,100,100,1,1,1,0,1,0,1
Nakhon Sawan,100,0,0,0,100,1,0,0,1,0,1,0
Nakhon Si Thammarat,100,0,0,0,100,1,0,0,1,0,1,0
Nan,100,0,0,0,100,1,0,0,1,0,1,0
Narathiwat,100,0,0,0,100,1,0,0,1,0,1,0
Nong Bua Lam Phu,0,0,0,100,100,1,1,1,0,1,0,1
Nong Khai,0,0,0,100,100,1,1,1,0,1,0,1
Nonthaburi,100,0,0,0,100,1,0,0,1,0,1,0
Pathum Thani,100,0,0,0,100,1,0,0,1,0,1,0
Pattani,100,0,0,0,100,1,0,0,1,0,1,0
Phangnga,100,0,0,0,100,1,0,0,1,0,1,0
Phatthalung,100,0,0,0,100,1,0,0,1,0,1,0
Phayao,100,0,0,0,100,1,0,0,1,0,1,0
Phetchabun,0,0,0,100,100,1,1,1,0,1,0,1
Phetchaburi,100,0,0,0,100,1,0,0,1,0,1,0
Phichit,100,0,0,0,100,1,0,0,1,0,1,0
Phitsanulok,100,0,0,0,100,1,0,0,1,0,1,0
Phra Nakhon Si Ayutthaya,100,0,0,0,100,1,0,0,1,0,1,0
Phrae,100,0,0,0,100,1,0,0,1,0,1,0
Phuket,100,0,0,0,100,1,0,0,1,0,1,0
Prachin Buri,100,0,0,0,100,1,0,0,1,0,1,0
Prachuap Khiri Khan,100,0,0,0,100,1,0,0,1,0,1,0
Ranong,100,0,0,0,100,1,0,0,1,0,1,0
Ratchaburi,100,0,0,0,100,1,0,0,1,0,1,0
Rayong,100,0,0,0,100,1,0,0,1,0,1,0
Roi Et,0,0,0,100,100,1,1,1,0,1,0,1
Sa Kaeo,100,0,0,0,100,1,0,0,1,0,1,0
Sakon Nakhon,0,0,0,100,100,1,1,1,0,1,0,1
Samut Prakan,100,0,0,0,100,1,0,0,1,0,1,0
Samut Sakhon,100,0,0,0,100,1,0,0,1,0,1,0
Samut Songkhram,100,0,0,0,100,1,0,0,1,0,1,0
Saraburi,100,0,0,0,100,1,0,0,1,0,1,0
Satun,100,0,0,0,100,1,0,0,1,0,1,0
Si Sa Ket,0,0,0,100,100,1,1,1,0,1,0,1
Sing Buri,100,0,0,0,100,1,0,0,1,0,1,0
Songkhla,100,0,0,0,100,1,0,0,1,0,1,0
Sukhothai,100,0,0,0,100,1,0,0,1,0,1,0
Suphan Buri,100,0,0,0,100,1,0,0,1,0,1,0
Surat Thani,100,0,0,0,100,1,0,0,1,0,1,0
Surin,0,0,0,100,100,1,1,1,0,1,0,1
Tak,100,0,0,0,100,1,0,0,1,0,1,0
Trang,100,0,0,0,100,1,0,0,1,0,1,0
Trat,100,0,0,0,100,1,0,0,1,0,1,0
Ubon Ratchathani,0,0,0,100,100,1,1,1,0,1,0,1
Udon Thani,0,0,0,100,100,1,1,1,0,1,0,1
Uthai Thani,100,0,0,0,100,1,0,0,1,0,1,0
Uttaradit,100,0,0,0,100,1,0,0,1,0,1,0
Yala,100,0,0,0,100,1,0,0,1,0,1,0
Yasothon,0,0,0,100,100,1,1,1,0,1,0,1
